Suburb,Rooms,Price,Date,Bedroom2,Bathroom,BuildingArea,YearBuilt,Regionname
Albert Park,2,2120000,10/9/2016,2,1,107,1900,Southern Metropolitan
Albert Park,3,1800000,10/9/2016,3,1,,,Southern Metropolitan
Albert Park,3,1800000,10/9/2016,3,2,122,1900,Southern Metropolitan
Albert Park,2,1810000,10/12/2016,2,1,,,Southern Metropolitan
Albert Park,3,2615000,10/12/2016,3,2,181,1880,Southern Metropolitan
Albert Park,5,2100000,10/12/2016,5,2,,,Southern Metropolitan
Albert Park,3,1300000,10/12/2016,3,1,,,Southern Metropolitan
Albert Park,3,1370000,12/6/2016,3,2,85,2000,Southern Metropolitan
Albert Park,2,1000000,12/11/2016,2,1,,,Southern Metropolitan
Albert Park,3,2575000,15/10/2016,3,2,,,Southern Metropolitan
Albert Park,2,1322500,15/10/2016,2,1,98,1890,Southern Metropolitan
Albert Park,2,1562500,15/10/2016,2,1,83,1890,Southern Metropolitan
Albert Park,3,2000000,16/04/2016,3,2,147,1900,Southern Metropolitan
Albert Park,3,1900000,18/03/2017,3,1,,1900,Southern Metropolitan
Albert Park,3,3010000,18/03/2017,3,2,146,1890,Southern Metropolitan
Albert Park,4,2800000,18/06/2016,4,3,254,1910,Southern Metropolitan
Albert Park,2,647000,22/05/2016,2,1,,,Southern Metropolitan
Albert Park,3,2100000,23/04/2016,2,1,123,1900,Southern Metropolitan
Albert Park,3,2000000,24/09/2016,3,1,131,1890,Southern Metropolitan
Albert Park,1,442500,25/02/2017,1,1,34,1970,Southern Metropolitan
Albert Park,4,4735000,25/02/2017,4,2,207,1910,Southern Metropolitan
Albert Park,2,1340000,25/02/2017,2,1,,,Southern Metropolitan
Albert Park,3,1801000,25/02/2017,3,1,,,Southern Metropolitan
Albert Park,3,1532000,26/07/2016,3,3,,,Southern Metropolitan
Albert Park,3,3755000,26/07/2016,3,2,,,Southern Metropolitan
Albert Park,4,2140000,27/06/2016,3,2,145,1880,Southern Metropolitan
Albert Park,2,1750000,27/11/2016,2,1,,,Southern Metropolitan
Albert Park,2,980000,28/05/2016,2,1,68,1890,Southern Metropolitan
Albert Park,3,2030000,28/08/2016,3,2,,,Southern Metropolitan
Albert Park,3,1740000,28/08/2016,3,2,134,1890,Southern Metropolitan
Albert Park,3,2800000,30/07/2016,3,3,,,Southern Metropolitan
Albert Park,1,985000,30/07/2016,1,1,54,1900,Southern Metropolitan
Alphington,4,2000000,3/9/2016,3,2,263,1930,Northern Metropolitan
Alphington,3,1110000,3/9/2016,3,2,,2013,Northern Metropolitan
Alphington,3,1492000,4/3/2017,3,2,,,Northern Metropolitan
Alphington,4,1717500,8/10/2016,4,2,203,1925,Northern Metropolitan
Alphington,5,2840000,12/6/2016,5,4,165,1910,Northern Metropolitan
Alphington,2,525500,12/11/2016,2,1,60,1960,Northern Metropolitan
Alphington,2,805000,12/11/2016,2,2,140,2004,Northern Metropolitan
Alphington,2,465000,12/11/2016,2,1,,,Northern Metropolitan
Alphington,3,2000000,15/10/2016,3,3,,,Northern Metropolitan
Alphington,3,1540000,16/04/2016,3,1,,,Northern Metropolitan
Alphington,2,820000,18/03/2017,2,1,,,Northern Metropolitan
Alphington,4,1830000,19/11/2016,4,2,112,1970,Northern Metropolitan
Alphington,4,2100000,19/11/2016,4,2,271,2008,Northern Metropolitan
Alphington,3,865000,22/05/2016,3,1,131,2010,Northern Metropolitan
Alphington,2,390000,22/05/2016,2,1,60,1960,Northern Metropolitan
Alphington,2,650000,24/09/2016,0,1,,,Northern Metropolitan
Alphington,2,512000,25/02/2017,2,1,61,1965,Northern Metropolitan
Alphington,3,1165000,27/06/2016,3,1,,,Northern Metropolitan
Alphington,4,1900000,27/11/2016,4,2,272,1930,Northern Metropolitan
Alphington,3,1485000,28/08/2016,3,0,,,Northern Metropolitan
Alphington,4,1950000,30/07/2016,4,2,210,1920,Northern Metropolitan
Altona,3,520000,3/9/2016,3,2,242,2015,Western Metropolitan
Altona,5,1525000,3/12/2016,5,3,268,2005,Western Metropolitan
Altona,2,720000,4/2/2016,2,1,125,2013,Western Metropolitan
Altona,3,1120000,4/3/2017,3,1,120,1930,Western Metropolitan
Altona,4,780000,4/6/2016,4,1,,,Western Metropolitan
Altona,4,1780000,4/6/2016,4,3,220,1962,Western Metropolitan
Altona,3,630000,6/8/2016,2,1,94,1955,Western Metropolitan
Altona,2,406000,6/8/2016,2,1,,,Western Metropolitan
Altona,3,660000,7/5/2016,3,1,123,1955,Western Metropolitan
Altona,3,683500,7/11/2016,3,1,,,Western Metropolitan
Altona,2,580000,8/10/2016,2,1,93,1988,Western Metropolitan
Altona,3,1335000,8/10/2016,3,1,22,1953,Western Metropolitan
Altona,3,800000,8/10/2016,3,2,,1997,Western Metropolitan
Altona,2,510000,10/9/2016,2,1,76,1990,Western Metropolitan
Altona,4,1070000,10/9/2016,4,2,,,Western Metropolitan
Altona,2,425000,10/9/2016,2,1,57,1980,Western Metropolitan
Altona,3,605000,10/12/2016,3,2,,,Western Metropolitan
Altona,3,705000,11/2/2017,3,2,152,,Western Metropolitan
Altona,2,391000,11/2/2017,2,1,65,1965,Western Metropolitan
Altona,2,440000,11/2/2017,2,1,,,Western Metropolitan
Altona,4,845000,11/2/2017,4,1,130,1950,Western Metropolitan
Altona,3,743000,12/11/2016,3,2,176,,Western Metropolitan
Altona,3,730000,13/08/2016,3,2,141,2014,Western Metropolitan
Altona,3,635000,14/05/2016,3,1,,1960,Western Metropolitan
Altona,2,620000,14/05/2016,2,1,,,Western Metropolitan
Altona,2,447000,15/10/2016,2,1,77,1990,Western Metropolitan
Altona,3,730000,16/04/2016,3,2,,,Western Metropolitan
Altona,3,678000,16/04/2016,3,1,87,1950,Western Metropolitan
Altona,2,580000,16/07/2016,2,2,76,2013,Western Metropolitan
Altona,3,712000,17/09/2016,3,1,,,Western Metropolitan
Altona,3,840000,18/03/2017,3,2,136,1965,Western Metropolitan
Altona,3,980000,19/11/2016,3,1,,,Western Metropolitan
Altona,3,605100,22/05/2016,3,2,,,Western Metropolitan
Altona,3,880000,22/08/2016,3,3,,,Western Metropolitan
Altona,3,577000,23/04/2016,3,2,113,2007,Western Metropolitan
Altona,4,1030000,25/02/2017,4,1,,,Western Metropolitan
Altona,3,605000,25/02/2017,3,1,,,Western Metropolitan
Altona,3,753000,27/06/2016,3,2,,,Western Metropolitan
Altona,2,857000,27/11/2016,2,2,100,1950,Western Metropolitan
Altona,3,1500000,28/05/2016,3,1,,,Western Metropolitan
Altona,3,730000,28/05/2016,3,2,3,2014,Western Metropolitan
Altona,3,900000,28/05/2016,3,1,,,Western Metropolitan
Altona,3,740000,28/08/2016,3,1,,,Western Metropolitan
Altona,4,931000,28/08/2016,4,2,,1970,Western Metropolitan
Altona,2,535600,30/07/2016,2,1,91,1996,Western Metropolitan
Altona North,5,1085000,3/9/2016,5,3,251,1965,Western Metropolitan
Altona North,3,781000,3/9/2016,3,1,117,1970,Western Metropolitan
Altona North,3,750000,4/3/2017,3,1,,,Western Metropolitan
Altona North,2,421000,4/3/2017,2,1,77,2009,Western Metropolitan
Altona North,3,1405000,4/3/2017,3,1,,,Western Metropolitan
Altona North,3,683000,4/6/2016,3,1,167,1967,Western Metropolitan
Altona North,3,623000,4/6/2016,3,1,,,Western Metropolitan
Altona North,3,720000,6/8/2016,3,2,130,2012,Western Metropolitan
Altona North,3,588000,7/5/2016,3,1,118,1970,Western Metropolitan
Altona North,3,710000,7/11/2016,3,1,116,1960,Western Metropolitan
Altona North,4,875000,8/10/2016,3,1,169,1965,Western Metropolitan
Altona North,3,700000,10/12/2016,3,1,,,Western Metropolitan
Altona North,2,640000,11/3/2017,2,1,,1965,Western Metropolitan
Altona North,4,650000,12/6/2016,4,1,,,Western Metropolitan
Altona North,3,675000,14/05/2016,3,2,109,2012,Western Metropolitan
Altona North,3,708000,15/10/2016,3,1,97,1960,Western Metropolitan
Altona North,4,965000,15/10/2016,4,1,,,Western Metropolitan
Altona North,3,680000,19/11/2016,3,1,,,Western Metropolitan
Altona North,3,770000,19/11/2016,3,1,603,,Western Metropolitan
Altona North,3,923000,22/05/2016,3,1,,,Western Metropolitan
Altona North,4,693000,22/05/2016,4,2,170,2008,Western Metropolitan
Altona North,3,620000,22/08/2016,5,2,100,2010,Western Metropolitan
Altona North,3,728500,22/08/2016,3,1,157,1960,Western Metropolitan
Altona North,3,931000,22/08/2016,3,2,160,1950,Western Metropolitan
Altona North,3,988000,22/08/2016,3,1,,2008,Western Metropolitan
Altona North,3,590000,23/04/2016,3,1,,,Western Metropolitan
Altona North,2,610000,24/09/2016,2,1,,,Western Metropolitan
Altona North,3,815000,25/02/2017,3,2,130,1960,Western Metropolitan
Altona North,4,970000,25/02/2017,4,1,,,Western Metropolitan
Altona North,4,760000,27/06/2016,4,1,,,Western Metropolitan
Altona North,4,847500,27/06/2016,4,3,,,Western Metropolitan
Altona North,4,1200000,27/11/2016,4,1,158,1960,Western Metropolitan
Altona North,3,700000,27/11/2016,3,1,,,Western Metropolitan
Altona North,3,625000,28/05/2016,3,1,,,Western Metropolitan
Altona North,2,292000,28/08/2016,2,1,70,1970,Western Metropolitan
Armadale,2,599000,3/9/2016,2,1,76,1964,Southern Metropolitan
Armadale,2,550000,3/12/2016,2,1,,,Southern Metropolitan
Armadale,3,995000,3/12/2016,3,2,100,1998,Southern Metropolitan
Armadale,3,1205000,3/12/2016,3,2,105,2000,Southern Metropolitan
Armadale,3,1939000,3/12/2016,3,2,150,1889,Southern Metropolitan
Armadale,1,421500,3/12/2016,1,1,,,Southern Metropolitan
Armadale,3,1870000,4/3/2017,3,1,116,1888,Southern Metropolitan
Armadale,2,678000,4/3/2017,2,1,,,Southern Metropolitan
Armadale,3,1918000,4/3/2017,3,2,165,1995,Southern Metropolitan
Armadale,2,660000,4/3/2017,2,1,,,Southern Metropolitan
Armadale,3,2050000,4/3/2017,3,2,116,1910,Southern Metropolitan
Armadale,2,700000,4/6/2016,2,1,,,Southern Metropolitan
Armadale,2,3625000,4/6/2016,3,2,,2006,Southern Metropolitan
Armadale,4,3000000,4/6/2016,4,2,,1934,Southern Metropolitan
Armadale,5,1525000,7/5/2016,8,2,,,Southern Metropolitan
Armadale,3,735000,7/5/2016,3,2,14,1970,Southern Metropolitan
Armadale,2,825000,7/5/2016,2,1,,,Southern Metropolitan
Armadale,3,1586000,7/5/2016,2,2,,,Southern Metropolitan
Armadale,2,645000,8/10/2016,3,1,,1960,Southern Metropolitan
Armadale,1,1435000,8/10/2016,2,2,107,1900,Southern Metropolitan
Armadale,1,280000,10/9/2016,1,1,38,1975,Southern Metropolitan
Armadale,1,400000,10/12/2016,1,1,,,Southern Metropolitan
Armadale,2,1780000,10/12/2016,2,2,,,Southern Metropolitan
Armadale,2,592500,10/12/2016,2,1,73,1970,Southern Metropolitan
Armadale,2,1210000,12/11/2016,2,1,96,1910,Southern Metropolitan
Armadale,4,2801000,12/11/2016,4,2,222,1900,Southern Metropolitan
Armadale,1,390000,14/05/2016,1,1,,,Southern Metropolitan
Armadale,3,1800000,15/10/2016,3,2,121,1910,Southern Metropolitan
Armadale,4,2200000,15/10/2016,4,1,163,1900,Southern Metropolitan
Armadale,1,324000,16/04/2016,1,1,,,Southern Metropolitan
Armadale,6,5525000,17/09/2016,5,3,516,1935,Southern Metropolitan
Armadale,2,1125000,17/09/2016,3,1,,,Southern Metropolitan
Armadale,3,2250000,17/09/2016,3,3,,,Southern Metropolitan
Armadale,3,2360000,18/03/2017,3,2,,,Southern Metropolitan
Armadale,2,1900000,18/03/2017,2,2,,,Southern Metropolitan
Armadale,1,440000,18/03/2017,1,1,53,1970,Southern Metropolitan
Armadale,2,490000,18/06/2016,2,1,,1966,Southern Metropolitan
Armadale,3,2365000,18/06/2016,3,2,,,Southern Metropolitan
Armadale,3,1300000,18/06/2016,2,1,106,1900,Southern Metropolitan
Armadale,3,732000,18/06/2016,3,2,,,Southern Metropolitan
Armadale,2,704000,19/11/2016,2,1,74,1969,Southern Metropolitan
Armadale,2,620000,19/11/2016,3,1,98,1970,Southern Metropolitan
Armadale,3,1900000,22/05/2016,3,1,108,1900,Southern Metropolitan
Armadale,1,315000,22/08/2016,1,1,,,Southern Metropolitan
Armadale,1,450000,24/09/2016,1,1,,,Southern Metropolitan
Armadale,2,710000,25/02/2017,2,1,80,1970,Southern Metropolitan
Armadale,2,872000,25/02/2017,2,1,,1953,Southern Metropolitan
Armadale,2,598000,25/02/2017,2,1,88,1970,Southern Metropolitan
Armadale,3,1285000,25/02/2017,3,1,80,1920,Southern Metropolitan
Armadale,4,3660000,25/02/2017,4,3,,,Southern Metropolitan
Armadale,2,520000,27/06/2016,1,1,76,1970,Southern Metropolitan
Armadale,4,3625000,27/11/2016,4,1,251,1900,Southern Metropolitan
Armadale,4,4200000,27/11/2016,4,3,333,2000,Southern Metropolitan
Armadale,3,1101000,27/11/2016,3,1,3,2000,Southern Metropolitan
Armadale,3,3512500,27/11/2016,3,2,285,1998,Southern Metropolitan
Armadale,4,2000000,28/05/2016,4,3,,,Southern Metropolitan
Armadale,3,869000,28/05/2016,2,1,91,1940,Southern Metropolitan
Armadale,5,2810000,28/08/2016,5,2,,,Southern Metropolitan
Armadale,2,565000,28/08/2016,3,1,,,Southern Metropolitan
Armadale,1,567000,28/08/2016,1,1,53,2013,Southern Metropolitan
Armadale,2,546000,30/07/2016,2,0,,,Southern Metropolitan
Armadale,2,471500,30/07/2016,2,1,,1980,Southern Metropolitan
Ascot Vale,2,455000,3/9/2016,3,1,,,Western Metropolitan
Ascot Vale,3,940000,3/12/2016,3,1,108,1920,Western Metropolitan
Ascot Vale,2,467000,3/12/2016,2,1,62,1980,Western Metropolitan
Ascot Vale,3,1380000,4/3/2017,3,2,174,1910,Western Metropolitan
Ascot Vale,2,490000,4/3/2017,2,1,62,1970,Western Metropolitan
Ascot Vale,4,1850000,4/3/2017,4,3,270,1900,Western Metropolitan
Ascot Vale,3,1284000,4/3/2017,3,1,,1938,Western Metropolitan
Ascot Vale,3,971000,4/6/2016,3,2,128,1900,Western Metropolitan
Ascot Vale,2,710000,4/6/2016,2,1,77,1890,Western Metropolitan
Ascot Vale,6,2425000,4/6/2016,6,3,435,1887,Western Metropolitan
Ascot Vale,2,750000,4/6/2016,2,1,92,1920,Western Metropolitan
Ascot Vale,2,1053000,6/8/2016,2,1,109,1900,Western Metropolitan
Ascot Vale,3,1377000,6/8/2016,3,1,168,1900,Western Metropolitan
Ascot Vale,3,970000,7/5/2016,3,1,125,1904,Western Metropolitan
Ascot Vale,2,940000,7/5/2016,2,1,,,Western Metropolitan
Ascot Vale,2,751000,7/5/2016,2,1,79,1890,Western Metropolitan
Ascot Vale,2,950000,7/5/2016,2,1,102,1900,Western Metropolitan
Ascot Vale,2,685000,7/11/2016,2,1,90,1995,Western Metropolitan
Ascot Vale,3,1230000,8/10/2016,4,1,148,1960,Western Metropolitan
Ascot Vale,2,636500,8/10/2016,2,1,,,Western Metropolitan
Ascot Vale,3,910000,8/10/2016,3,1,,,Western Metropolitan
Ascot Vale,2,770000,10/9/2016,2,1,87,1900,Western Metropolitan
Ascot Vale,3,960000,10/12/2016,3,2,,2011,Western Metropolitan
Ascot Vale,4,890000,10/12/2016,4,1,185,1890,Western Metropolitan
Ascot Vale,2,965000,10/12/2016,2,1,,,Western Metropolitan
Ascot Vale,3,1440000,11/2/2017,3,1,131,1900,Western Metropolitan
Ascot Vale,2,955000,11/3/2017,2,1,,,Western Metropolitan
Ascot Vale,2,450000,12/11/2016,2,1,,2010,Western Metropolitan
Ascot Vale,3,801000,12/11/2016,3,1,,1950,Western Metropolitan
Ascot Vale,3,1000000,12/11/2016,3,2,120,1955,Western Metropolitan
Ascot Vale,3,1435000,12/11/2016,3,2,147,1950,Western Metropolitan
Ascot Vale,1,390000,12/11/2016,1,1,58,1972,Western Metropolitan
Ascot Vale,3,1425000,13/08/2016,3,2,139,1920,Western Metropolitan
Ascot Vale,4,1340000,14/05/2016,3,2,232,1978,Western Metropolitan
Ascot Vale,3,955000,14/05/2016,3,1,117,1910,Western Metropolitan
Ascot Vale,4,1100000,15/10/2016,4,2,195,1920,Western Metropolitan
Ascot Vale,3,1255000,15/10/2016,3,2,,,Western Metropolitan
Ascot Vale,2,432000,15/10/2016,2,1,62,1978,Western Metropolitan
Ascot Vale,4,1640000,16/04/2016,4,3,204,1890,Western Metropolitan
Ascot Vale,6,1430000,16/04/2016,4,2,286,1900,Western Metropolitan
Ascot Vale,2,610000,16/04/2016,2,1,104,1995,Western Metropolitan
Ascot Vale,3,940000,16/04/2016,3,3,127,1950,Western Metropolitan
Ascot Vale,3,890000,16/07/2016,3,1,110,1920,Western Metropolitan
Ascot Vale,3,1180000,17/09/2016,3,2,149,1930,Western Metropolitan
Ascot Vale,4,1480000,17/09/2016,4,2,180,1939,Western Metropolitan
Ascot Vale,2,1150000,18/03/2017,2,1,,,Western Metropolitan
Ascot Vale,3,1350000,18/03/2017,3,1,,,Western Metropolitan
Ascot Vale,5,1905000,18/03/2017,5,2,,,Western Metropolitan
Ascot Vale,2,865000,18/03/2017,2,2,132,2015,Western Metropolitan
Ascot Vale,2,705000,18/06/2016,2,2,,1998,Western Metropolitan
Ascot Vale,2,442000,18/06/2016,2,1,62,1975,Western Metropolitan
Ascot Vale,2,540000,19/11/2016,2,2,,,Western Metropolitan
Ascot Vale,3,1037500,19/11/2016,3,1,110,1920,Western Metropolitan
Ascot Vale,3,1050000,19/11/2016,3,2,160,2013,Western Metropolitan
Ascot Vale,2,440000,19/11/2016,2,1,65,1970,Western Metropolitan
Ascot Vale,2,1010000,19/11/2016,2,1,,,Western Metropolitan
Ascot Vale,4,1430000,22/05/2016,4,2,158,1900,Western Metropolitan
Ascot Vale,2,570000,22/05/2016,2,1,,,Western Metropolitan
Ascot Vale,2,690000,22/05/2016,2,1,,,Western Metropolitan
Ascot Vale,3,1291000,23/04/2016,3,1,,,Western Metropolitan
Ascot Vale,3,1130000,23/04/2016,3,2,157,1900,Western Metropolitan
Ascot Vale,3,1135000,24/09/2016,3,1,104,1910,Western Metropolitan
Ascot Vale,4,950000,24/09/2016,4,2,147,1920,Western Metropolitan
Ascot Vale,3,790000,24/09/2016,3,2,148,,Western Metropolitan
Ascot Vale,2,390000,25/02/2017,2,1,69,2012,Western Metropolitan
Ascot Vale,4,1345000,25/02/2017,4,1,155,1920,Western Metropolitan
Ascot Vale,3,1381500,25/02/2017,3,2,168,1900,Western Metropolitan
Ascot Vale,3,940000,26/07/2016,3,2,172,2011,Western Metropolitan
Ascot Vale,3,995000,26/07/2016,3,2,177,2010,Western Metropolitan
Ascot Vale,3,1050000,26/07/2016,3,1,,,Western Metropolitan
Ascot Vale,3,786000,26/07/2016,3,2,120,1940,Western Metropolitan
Ascot Vale,2,705000,27/06/2016,2,1,108,1910,Western Metropolitan
Ascot Vale,2,760000,27/06/2016,2,1,77,1900,Western Metropolitan
Ascot Vale,3,487500,27/06/2016,3,1,,1972,Western Metropolitan
Ascot Vale,3,1000000,27/11/2016,3,2,144,2003,Western Metropolitan
Ascot Vale,4,1110000,27/11/2016,4,2,,1920,Western Metropolitan
Ascot Vale,4,1300000,27/11/2016,4,1,,,Western Metropolitan
Ascot Vale,3,1060000,27/11/2016,3,1,,,Western Metropolitan
Ascot Vale,3,1410000,27/11/2016,3,2,,,Western Metropolitan
Ascot Vale,3,1305000,28/05/2016,2,1,166,1900,Western Metropolitan
Ascot Vale,3,932500,28/05/2016,3,2,,,Western Metropolitan
Ascot Vale,3,965000,28/08/2016,3,1,,,Western Metropolitan
Ascot Vale,3,1215000,28/08/2016,3,1,175,1960,Western Metropolitan
Ascot Vale,2,545000,28/08/2016,2,1,71,1900,Western Metropolitan
Ascot Vale,4,1705000,30/07/2016,4,2,273,2012,Western Metropolitan
Ascot Vale,3,970000,30/07/2016,2,1,,,Western Metropolitan
Ascot Vale,2,925000,30/07/2016,2,1,,,Western Metropolitan
Ashburton,4,2650000,3/9/2016,4,3,399,2015,Southern Metropolitan
Ashburton,3,1670000,3/12/2016,3,2,220,1930,Southern Metropolitan
Ashburton,3,955000,3/12/2016,3,2,,,Southern Metropolitan
Ashburton,3,2050000,3/12/2016,3,3,315,2014,Southern Metropolitan
Ashburton,2,500000,4/3/2017,2,1,,2010,Southern Metropolitan
Ashburton,2,1575000,4/3/2017,2,1,,,Southern Metropolitan
Ashburton,3,1555000,4/6/2016,3,2,149,1935,Southern Metropolitan
Ashburton,3,1100000,8/10/2016,3,3,178,2004,Southern Metropolitan
Ashburton,3,1337000,8/10/2016,3,1,112,1950,Southern Metropolitan
Ashburton,8,2950000,10/9/2016,9,7,618,2009,Southern Metropolitan
Ashburton,4,2215000,10/9/2016,4,2,,1940,Southern Metropolitan
Ashburton,3,1518000,10/9/2016,3,2,145,1920,Southern Metropolitan
Ashburton,3,1710000,10/12/2016,3,1,101,1950,Southern Metropolitan
Ashburton,3,1655000,10/12/2016,3,1,152,1940,Southern Metropolitan
Ashburton,4,1550000,12/11/2016,4,2,180,1938,Southern Metropolitan
Ashburton,3,1662000,14/05/2016,3,2,228,2006,Southern Metropolitan
Ashburton,3,1665000,15/10/2016,3,2,145,1945,Southern Metropolitan
Ashburton,2,1445000,16/04/2016,2,1,,,Southern Metropolitan
Ashburton,5,3510000,18/03/2017,5,5,444,2015,Southern Metropolitan
