Company,address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Imtiyaz Patel,3554-58 W Lawrence,Lawrence/Kedzie,2005-08-24T00:00:00,25000,7084.59,"Awning, Windows"
Lawndale Medical,3600 W Roosevelt,Midwest,2005-08-25T00:00:00,46891,23445.5,"Parking, Landscaping"
Washtown Coin Laundry ,3701 W Lawrence,Lawrence/Kedzie,2005-09-08T00:00:00,52025,25490,"Storefront, door, Plumbing, Security System, Parking Lot"
Nader Salti,1350 W Randolph,Kinzie Industrial Corridor Industrial Corridor,2005-09-15T00:00:00,38694,19347,
Marco Lighting Components Inc ,457 N Leavitt,Kinzie Industrial Corridor Industrial Corridor,2005-09-28T00:00:00,33847.71,16734.18,"replace windows, doors, garage doors, hvac"
Chicago Spotlight ,1658 W Carroll,Kinzie Industrial Corridor Industrial Corridor,2005-10-11T00:00:00,350000,50000,"Replace roof, masonary, plumbing, electrical repairs"
Ed Spiwak,3953 W Roosvelt,Midwest,2005-10-14T00:00:00,103000,50000,"Roof, Office build-out, doorways, backporches"
Lawndale Medical,3600 W Roosevelt,Midwest,2005-10-14T00:00:00,35192,17596,Fence
Herbert Brusso,4131 N Western,Western Ave South,2005-10-19T00:00:00,16788,12591,Awnings / Cement
Asiana & Co ,3312 W Lawrence,Lawrence/Kedzie,2005-10-20T00:00:00,27000,13850,"HVAC, Roof"
David Kwang Lee,3243 W Lawrence,Lawrence/Kedzie,2005-10-20T00:00:00,100000,47067.5,"Windows, Roof, Facade/Tuckpointing, Interior Renovations, Electrical"
First Start Child Patricia Tyus,19 N Cicero,Madison/Austin Corridor,2005-11-18T00:00:00,7600,3800,"Fire Alarm system, renovations"
Brite Site,4616 W Fullerton,Northwest Industrial Corridor,2005-11-22T00:00:00,100000,50000,Roof / HVAC / Windows / Signage / Tuckpoint
Albany Park Auto Clinic,3848 W Lawrence,Lawrence/Kedzie,2005-11-23T00:00:00,10165,5082.5,HVAC
Marv-o-lus Mfg Co ,220 N Washtenaw,Kinzie Industrial Corridor Industrial Corridor,2005-12-01T00:00:00,122000,50000,"Roof, Masonry repairs, structural repair"
Lawrence-Kedzie Self Storage,3215 W Lawrence,Lawrence/Kedzie,2005-12-02T00:00:00,89371,44685.5,elevator
Kenneth Motew,1035 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-12-19T00:00:00,145250,50000,complete rehab
L & L Appliance Mart ,3240 W Lawrence,Lawrence/Kedzie,2005-12-19T00:00:00,5325,2928.75,"Tuckpointing, Interior repairs, primates"
AJC Restoration Inc,228 W Washtenaw,Kinzie Industrial Corridor Industrial Corridor,2006-01-04T00:00:00,72150,36075,"new roof, replace concrete, renovate walls"
American Soda Fountain Inc,455 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,2006-02-10T00:00:00,11417,5908.5,replace windows
Metro Financial Services,2878 N Milwaukee,Fullerton/Milwaukee,2006-02-10T00:00:00,150000,35478.93,Handicap Access / Structural support / Floor / Siding / Facade / Plumbing / HVAC / Electricla
Lee Burnstein,3109 W Armitage,Fullerton/Milwaukee,2006-02-13T00:00:00,100000,50000,Facade / Windows / Signage / 2nd Floor Entrence / Renovate Lobby / Flooring
OnCall Interactive ,2247 W Lawrence,Western Ave North,2006-02-14T00:00:00,100000,26248.33,Interior Renovations
Vincent Gerage,5050 W Irving Park,Portage Park,2006-02-15T00:00:00,18836,11805.75,"Roof, parapet"
Mr Jose Mestey,2758 W North,Humboldt Park,2006-02-21T00:00:00,70000,50000,"Storefront, sign, electrical, drywall, plumbing, gasline, floor"
Mark Larocca,1035 W Lake,Kinzie Industrial Corridor Industrial Corridor,2006-03-08T00:00:00,150000,50000,complete renovations
Stephen Hamilton,309 N Justine,Kinzie Industrial Corridor Industrial Corridor,2006-03-15T00:00:00,102000,50000,"Replace roof, security gate, tuckpointing, replace glass block windows"
Tres Jolie Art Inc ,1837 W Grand,Kinzie Industrial Corridor Industrial Corridor,2006-03-31T00:00:00,38000,20900,New facade / storefront
Byung Mun Kang,3523 W Lawrence,Lawrence/Kedzie,2006-04-11T00:00:00,19680,9840,"Parking lot paving, HVAC, Facade"
Lawndale Medical,3600 W Roosevelt,Midwest,2006-04-12T00:00:00,15000,5717.85,gate fabrication & install
Wielgus Product Models Inc ,1435 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2006-04-12T00:00:00,138608.35,30443.5,"Finish office, windows, tuckpoint, parking lot, roof insulation"
Andre Tyus Tyus Salon,604 S Pulaski,Midwest,2006-05-05T00:00:00,17100,12825,Interior Build Out
BP Electric Motors,4014 N Western,Western Ave South,2006-05-19T00:00:00,34086.12,17043.06,Storefront
La Criolla Inc ,907 W Randolph,Kinzie Industrial Corridor Industrial Corridor,2006-05-22T00:00:00,18050,9025,"roofing, floors, ceilings"
Ameer General Merchandise #2,3443 W Lawrence,Lawrence/Kedzie,2006-05-24T00:00:00,32500,16250,HVAC
Scott Spector Chicago Music Garage,347 N Loomis,Kinzie Industrial Corridor Industrial Corridor,2006-05-24T00:00:00,120000,50000,Complete Rehab of 347 N. Loomis
In Ki Lee,3009-17 W Lawrence,Lawrence/Kedzie,2006-06-06T00:00:00,19500,14625,roof
Holy Land Grocery 1 ,4806 N Kedzie,Lawrence/Kedzie,2006-06-08T00:00:00,58787.3,29393.65,"Interior Renovation, Sign, Floor, Plumbing, Perm. Equipment"
DANK Haus,4740 N Western,Western Ave North,2006-06-14T00:00:00,104065,50000,"Roof repair, heating & air conditioning modernization, elevator repair"
Grant Park Packing Co,842 W Lake,Kinzie Industrial Corridor Industrial Corridor,2006-06-21T00:00:00,84947.67,42473.84,Redoing all floors
Grant Park Packing Co,842 W Lake,Kinzie Industrial Corridor Industrial Corridor,2006-06-21T00:00:00,161000,40250,elevator modernization
Top of the Line,4717-23 W Chicago,Northwest Industrial Corridor,2006-06-21T00:00:00,102000,50000,"roof, I-Beam work, garage doors, wrought iron fencing"
Foster Avenue Dental ,3318 W Foster,Lawrence/Kedzie,2006-07-21T00:00:00,4420,1330,"Awning, Lighting, Flooring, Bathroom"
Khosro Beik,1923 W Irving Park,Western Ave South,2006-08-08T00:00:00,46831.34,26225.55,"Storefront, windows, floor, HVAC, Lights, Stairway/basement, Awning"
TEC Foods Inc ,4300 W Ohio,Northwest Industrial Corridor,2006-08-08T00:00:00,50000,35709,"ADA Compliance, perm lanscaping, parking lot curbs"
Creative Salon 1 Creative ,3946 W 16th,Midwest,2006-08-17T00:00:00,23700,17775,
Imax Video ,3912 W Lawrence,Lawrence/Kedzie,2006-08-17T00:00:00,2161,1535.33,awning
Jeffrey A Mills Foot Path Trading Co,2900 W Armitage,Fullerton/Milwaukee,2006-08-17T00:00:00,16372,6856.87,"Electric, water heater, tuckpointing, ventilation fan, windows, roof"
Lonnie Peterson,1220 W Lake,Kinzie Industrial Corridor Industrial Corridor,2006-08-17T00:00:00,18280,8198,roof
Myong Yul Kim,3544-46 W Lawrence,Lawrence/Kedzie,2006-08-21T00:00:00,122800,44980,"Roof, Basement, Windows"
POMA LLC,2834-36 W Roosevelt Rd,Midwest,2006-08-21T00:00:00,100000,50000,complete renovations
Sharpe Tax Advisors ,4151 N Western,Western Ave South,2006-08-28T00:00:00,75820,50000.2,interior and ext. renovations
Osman's Auto Repair,222 N Laflin,Kinzie Industrial Corridor Industrial Corridor,2006-09-01T00:00:00,100000,40660.25,total renovations
Paws & Claws Daycare Inc,5015 N Western,Western Ave North,2006-09-01T00:00:00,32500,24375,"sidewalks, windows, HVAC, facade, tuckpointing, roof?"
Portage Theatre Management I ,4050 N Milwaukee,Portage Park,2006-09-01T00:00:00,46762.93,23381.47,"Stage expasion, hvac, fire box"
Design Lab Chicago ,328 N Albany,Kinzie Industrial Corridor Industrial Corridor,2006-09-13T00:00:00,34278,18852.9,"Install fire doors, emergency exit, sprinkler, roof"
Face to Face Hair Design,3502 W 111th ,111th/Kedzie,2006-09-18T00:00:00,150000,50000,Electric / interior renovation / plumbing / HVAC / Windows / etc
Farlow Development,4222-24 N Milwaukee,Portage Park,2006-09-18T00:00:00,97671,50000,major renovations
Jessica Park,5052-56 W Irving Park Rd,Portage Park,2006-09-18T00:00:00,110450,50000,"storefront, sign & awning, roofing, tuckpointing"
Socksco Hosiery 2 Gun S Son,3040 W Lawrence,Lawrence/Kedzie,2006-09-20T00:00:00,60870,4682.19,"HVAC, Plumbing, Door, Security"
Creative Salon 1 Creative ,3946 W 16th,Midwest,2006-09-25T00:00:00,15610.3,11707.73,
Harold Story,3249 W Harrison,Midwest,2006-09-27T00:00:00,100000,50000,"Water, plumbing, electrical, sign, door, roof, windows"
Cafe Colao,2638 W Division,Humboldt Park,2006-10-13T00:00:00,21495.74,16121.81,"Oven, HVAC, Electric"
Harold Goldenberg,2557-69 N Milwaukee,Fullerton/Milwaukee,2006-10-20T00:00:00,73847.38,36937.19,Storefronts / Awnings / Signage / Electrical
Bonsoiree Restaurant,2728 W Armitage,Fullerton/Milwaukee,2006-10-25T00:00:00,12810,6317.5,"Storefront renovations, new windows, doors, awning"
BP Electric Motors,4014 N Western,Western Ave South,2006-11-27T00:00:00,39000,19500,Storefront
Jaafer Sweets ,4825 N Kedzie,Lawrence/Kedzie,2006-12-04T00:00:00,100000,50000,Complete remodel
3256 Pizza Bravo ,3256 W Lawrence,Lawrence/Kedzie,2006-12-21T00:00:00,69550,50000,"Storefront, glass, signage, remove gates, security system, entrance, lighting, ceiling"
Pro Autobody Shop ,4735 N Pulaski,Lawrence/Pulaski,2007-01-08T00:00:00,37970,20035,"Roof, signage, doors, HVAC, electric, bathroom repair"
In Ki Lee,3009-17 W Lawrence,Lawrence/Kedzie,2007-01-09T00:00:00,51200,35375,"HVAC, tuckpointing"
Joe Minogue,4956-58 N Milwaukee,Jefferson Park ,2007-01-09T00:00:00,219109.5,50000,Renovation work
Harry Kemperas,3251-57 W Bryn Mawr,Lawrence/Kedzie,2007-01-10T00:00:00,22000,11100,four store front renovations
Wielgus Product Models Inc ,1435 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2007-01-10T00:00:00,138608.35,19556.5,"Finish office, windows, tuckpoint, parking lot, roof insulation"
WIA Communications Inc,8130 S Stony Island,Stony Island Avenue Commercial and Burnside Industrial Corridors,2007-01-25T00:00:00,75000,43390,"Parking lot/sidewalk, heating & cooling, lanscaping, outdoor signage"
Rudy's Cyclery Inc ,5711 W Irving Park Rd,West Irving Park,2007-01-26T00:00:00,16328.15,8125.68,"Facade, roof, doors, tuck point, sign"
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,2007-01-26T00:00:00,43980,21990,"Repair masonry, fence, replace entry, parking lot"
Pastorelli Food Products Inc ,162 N Sangamon,Kinzie Industrial Corridor Industrial Corridor,2007-01-27T00:00:00,125000,46696.96,"Windows, Tuckpointing, Bathroom renovations, HVAC"
Osman's Auto Repair,222 N Laflin,Kinzie Industrial Corridor Industrial Corridor,2007-02-02T00:00:00,100000,7300,total renovations
Fashion Corner,1658 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,2007-02-12T00:00:00,27450,13725,Replacement and/or repair of roof
Chicago Ballet ,433 W Diversey,Fullerton/Milwaukee,2007-02-16T00:00:00,13250,9937.5,"flooring, ceiling, electrical, interior/bathroom renovation, hvac"
Fashion Corner,1658 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,2007-02-16T00:00:00,47582.5,23791.25,HVAC
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,2007-02-20T00:00:00,37245,11742.5,"windows, sidewalk, signage"
Ace Styline Furniture,1747 W Carroll,Kinzie Industrial Corridor Industrial Corridor,2007-02-27T00:00:00,115196,50000,Repair Facade / Remove-replace signage. Re-roof building
Ace Styline Furniture,1747 W Carroll,Kinzie Industrial Corridor Industrial Corridor,2007-02-27T00:00:00,99019,43641.03,"fixed equip., fire doors, sprinkler system"
Harry Cannon,700-04 W 119th,119th/Halsted,2007-02-27T00:00:00,31560,23670,"roof repair, new door, ADA accessable, stair repair, floor repair, HVAC"
TRE Kronor Restaurant ,3258 W Foster,Lawrence/Kedzie,2007-02-27T00:00:00,107500,50000,"Roof, Windows, Exit, Awning, HVAC"
La Plena Restaurant,2617 W Division,Humboldt Park,2007-03-05T00:00:00,42500,23375,"Front rehab, interior buildout, parking"
The Wooden Spoon,5047 N Clark,Clark/Montrose,2007-03-06T00:00:00,135100,50000,Exterior / renovate garage
May Medical Center,3857 W Washington,Madison/Austin Corridor,2007-03-15T00:00:00,15406,8473.3,Porch
Dokil Bakery Shine Oh,3844 W Lawrence,Lawrence/Kedzie,2007-03-20T00:00:00,5885,3147.13,"Awning, Sign, Security, Plumbing"
Industrial Council of Northwest Chicago (ICNC),2010 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2007-03-21T00:00:00,159567.2,37737,"sprinkler system, roof, windows, tuckpointing, parking lot repair"
Seyed M Dehnavifar,2200 W Lawrence,Western Ave North,2007-03-22T00:00:00,150000,50000,"HVAC, kitchen hood, concrete, oak floor, electric, signage, plumbing"
Chicago Ballet ,3433 W Diversey,Fullerton/Milwaukee,2007-03-23T00:00:00,29000,21750,interior renovation
Industrial Council of Northwest Chicago (ICNC),2010 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2007-04-12T00:00:00,239882.8,50000,"sprinkler system, insulation, roof, interior renovations"
Midway Ice Cream ,3958 W 58th PL,63rd/Pulaski,2007-04-17T00:00:00,27007,13761.5,"Fencing, doors, roof, lighting,HVAC, floors"
